index,한계기업,Symbol,Name,ROA(영업이익)(%)1,ROA(영업이익)(%)2,ROA(영업이익)(%)3,ROA(세전계속사업이익)(%)1,ROA(세전계속사업이익)(%)2,ROA(세전계속사업이익)(%)3,ROA(당기순이익)(%)1,ROA(당기순이익)(%)2,ROA(당기순이익)(%)3,ROA(총포괄이익)(%)1,ROA(총포괄이익)(%)2,ROA(총포괄이익)(%)3,ROE(영업이익)(%)1,ROE(영업이익)(%)2,ROE(영업이익)(%)3,ROE(세전계속사업이익)(%)1,ROE(세전계속사업이익)(%)2,ROE(세전계속사업이익)(%)3,ROE(당기순이익)(%)1,ROE(당기순이익)(%)2,ROE(당기순이익)(%)3,부채비율(%)1,부채비율(%)2,부채비율(%)3,자기자본현금흐름률(%)1,자기자본현금흐름률(%)2,자기자본현금흐름률(%)3,현금흐름/영업수익(%)1,현금흐름/영업수익(%)2,현금흐름/영업수익(%)3,현금흐름/총부채(%)1,현금흐름/총부채(%)2,현금흐름/총부채(%)3,현금흐름/총자본(%)1,현금흐름/총자본(%)2,현금흐름/총자본(%)3,현금흐름/총자산(%)1,현금흐름/총자산(%)2,현금흐름/총자산(%)3,현금흐름/총차입부채(%)1,현금흐름/총차입부채(%)2,현금흐름/총차입부채(%)3,총자산회전율(회)1,총자산회전율(회)2,총자산회전율(회)3,자본금회전율(회)1,자본금회전율(회)2,자본금회전율(회)3,총부채회전율(회)1,총부채회전율(회)2,총부채회전율(회)3,총자본회전율(회)1,총자본회전율(회)2,총자본회전율(회)3,총부채증가율(전년동기)(%)1,총부채증가율(전년동기)(%)2,총부채증가율(전년동기)(%)3,총자산증가율(전년동기)(%)1,총자산증가율(전년동기)(%)2,총자산증가율(전년동기)(%)3,매출액증가율(전년동기)(%)1,매출액증가율(전년동기)(%)2,매출액증가율(전년동기)(%)3,국고채 3년(평균)-%1,국고채 3년(평균)-%2,국고채 3년(평균)-%3,경상수지(백만불)-값1,경상수지(백만불)-값2,경상수지(백만불)-값3,소비자물가지수(CPI)-값1,소비자물가지수(CPI)-값2,소비자물가지수(CPI)-값3,실업률(15세 이상)-%1,실업률(15세 이상)-%2,실업률(15세 이상)-%3,코스닥 지수(연월말)-값1,코스닥 지수(연월말)-값2,코스닥 지수(연월말)-값3,환율-값1,환율-값2,환율-값3,WTI등락률-%1,WTI등락률-%2,WTI등락률-%3,국내총생산(명목GDP)1,국내총생산(명목GDP)2,국내총생산(명목GDP)3
153,0,A119830,아이텍,3.43,-1.73,1.84,0.98,-4.4,0.56,1.02,-3.49,0.14,1.05,-3.4,0.32,7.23,-3.88,4.07,2.06,-9.84,1.25,2.15,-7.81,0.32,112.83,135.24,107.66,32.15,26.5,35.75,33.15,29.59,37.2,28.97,21.44,29.45,32.15,26.5,35.75,15.24,11.85,16.15,37.05,25.89,34.39,0.46,0.4,0.43,9.13,8.23,8.52,0.87,0.72,0.79,0.97,0.9,0.96,6.15,11.18,-19.83,4.46,2.52,-11.1,8.45,-9.84,3.6,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
154,1,A018290,브이티지엠피,-2.2,-5.47,2.18,-8.02,-1.16,1.57,-8.02,-1.16,1.49,-7.89,-0.76,1.81,-7.7,-20.7,7.61,-28.09,-4.38,5.47,-28.09,-4.38,5.2,296.75,259.93,237.57,-18.14,5.72,13.96,-8.06,2.36,6,-7.24,2.05,5.62,-18.14,5.72,13.96,-5.18,1.51,4.01,-9.38,2.68,7.47,0.64,0.64,0.67,1.93,1.76,1.71,0.9,0.87,0.94,2.25,2.43,2.33,3.42,-14.88,-2.66,-5.53,-11.84,-0.11,0.4,-8.69,-2.53,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
155,0,A306620,네온테크,11.36,13.85,6.02,10.83,10.91,2.66,9.76,8.93,2.56,10.33,8.88,2.55,21.5,29.57,12.78,20.49,23.29,5.65,18.46,19.06,5.43,112.63,114.25,110.29,19.97,21.44,8,10.81,10.07,4.54,22.39,18.89,7.13,19.97,21.44,8,10.56,10.04,3.77,42.53,29.72,11.06,0.98,1,0.83,16.8,16.96,12.23,2.07,1.88,1.57,1.85,2.13,1.76,147.95,22.93,1.92,73.35,22.11,3.63,-31.42,43.74,-6.82,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
156,0,A025950,동신건설,3.35,1.56,10.29,5.44,3.65,11.73,4.18,2.86,9.52,4.18,2.86,9.52,4.31,2.09,13.17,7,4.89,15.01,5.39,3.83,12.19,32.78,34.92,21.8,5.61,4.04,12.38,7.28,5.9,9.34,19.52,11.93,44.21,5.61,4.04,12.38,4.36,3.02,9.67,458.32,338.8,1158.4,0.6,0.51,1.04,10.99,10.01,20.75,2.68,2.02,4.73,0.77,0.68,1.33,36.72,9.2,-30.36,9.35,4.15,0.69,-11.96,-8.9,107.27,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
157,0,A142280,녹십자엠에스,28.05,11.91,7.31,27.7,10.43,5,22.17,8.96,5.69,20.72,9.46,6.48,58.17,28.43,18.64,57.43,24.89,12.75,45.96,21.39,14.51,132.37,144.09,164.3,50.76,26.47,19.93,8.85,5.13,4.83,47.28,19.08,12.85,50.76,26.47,19.93,24.48,11.09,7.81,263.42,51.96,29.58,2.77,2.16,1.62,14.98,17.37,16.53,5.34,3.72,2.66,5.74,5.16,4.13,181.46,30.57,34.56,103.59,26,27.77,87.56,18.36,-4.84,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
158,0,A061040,알에프텍,6.63,16.48,3.42,4.79,16.13,2.22,3.47,12.71,1.66,4.61,9.99,1.74,13.43,37.59,7.99,9.7,36.79,5.18,7.03,28.98,3.88,119.9,134.61,132.48,11.54,34.65,12.04,2.89,5.63,2.21,11.25,27.06,9.06,11.54,34.65,12.1,5.7,15.19,5.18,46.43,132.97,39.36,1.97,2.7,2.34,54.1,96.38,95.38,3.89,4.8,4.09,3.99,6.15,5.47,55.79,39.65,1.69,30.17,32.71,2.39,28.24,80.33,0.16,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
159,0,A060560,홈센타홀딩스,2.8,0.25,1.5,2.6,4.08,2.23,1.68,3.37,1.77,1.33,3.26,1.76,3.81,0.38,2.39,3.54,6.09,3.57,2.29,5.03,2.83,38.5,59.26,60.33,4.37,6.43,4.61,3.51,5.44,3.64,11.74,12.92,7.71,4.25,6.35,4.61,3.12,4.26,2.88,150.86,51.24,20.25,0.89,0.78,0.79,11.34,10.24,11.21,3.34,2.38,2.12,1.21,1.17,1.27,32.53,62.2,1.6,19.72,21.18,0.48,29.84,6.28,11.24,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
160,1,A109820,진매트릭스,-3.28,-5.45,-7.08,-2.2,-11.61,-7.2,-4.82,-11.61,-7.2,-5.04,-11.83,-6.78,-4.55,-7.9,-10.62,-3.05,-16.82,-10.8,-6.67,-16.82,-10.8,43.72,46.19,53.97,-3.45,-12.76,-7.42,-4.72,-21.13,-12.1,-8.45,-25.58,-13.24,-3.26,-11.48,-6.61,-2.35,-7.92,-4.41,-12.59,-39.84,-21.21,0.5,0.38,0.36,5.04,3.84,3.42,1.79,1.21,1.09,0.69,0.54,0.55,61.61,-6.58,7.29,30.05,-10.05,-3.29,379.93,-19.3,-9.51,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
161,0,A054620,APS홀딩스,13.3,5.41,8.27,8.31,6.52,9.42,5.54,4.72,7.86,5.03,4.55,7.7,35.66,15.27,16.95,22.27,18.41,19.31,14.86,13.33,16.09,232.32,134.89,79.07,20.58,19.65,21.33,6.71,7.53,7.78,11.91,10.5,19.91,20.02,19.16,20.88,7.47,6.78,10.19,34.22,30.31,44.43,1.11,0.9,1.31,20.92,20.16,22.67,1.77,1.4,2.56,2.98,2.55,2.69,225.64,-39.09,-31.83,118.67,-25.85,-11.35,67.14,-3.21,16.82,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
162,1,A045970,코아시아,0.71,1.6,0.05,1.38,3.3,-1.48,0.86,2.49,-1.16,1.02,1.54,-0.86,1.6,3.71,0.12,3.11,7.64,-3.73,1.93,5.76,-2.94,129.77,132.83,172.43,7.69,11.75,3.98,3.32,5.02,1.36,6.05,8.79,2.54,7.58,11.54,3.87,3.37,4.99,1.53,10.44,14.29,3.67,1.01,0.99,1.13,34.12,35.2,43.51,1.82,1.75,1.86,2.28,2.3,2.84,10.19,4.57,27.02,6.63,3.52,14.49,4.93,3.16,23.6,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
