index,한계기업,ROA(영업이익)(%)1,ROA(영업이익)(%)2,ROA(영업이익)(%)3,ROA(세전계속사업이익)(%)1,ROA(세전계속사업이익)(%)2,ROA(세전계속사업이익)(%)3,ROA(당기순이익)(%)1,ROA(당기순이익)(%)2,ROA(당기순이익)(%)3,ROA(총포괄이익)(%)1,ROA(총포괄이익)(%)2,ROA(총포괄이익)(%)3,ROE(영업이익)(%)1,ROE(영업이익)(%)2,ROE(영업이익)(%)3,ROE(세전계속사업이익)(%)1,ROE(세전계속사업이익)(%)2,ROE(세전계속사업이익)(%)3,ROE(당기순이익)(%)1,ROE(당기순이익)(%)2,ROE(당기순이익)(%)3,부채비율(%)1,부채비율(%)2,부채비율(%)3,자기자본현금흐름률(%)1,자기자본현금흐름률(%)2,자기자본현금흐름률(%)3,현금흐름/영업수익(%)1,현금흐름/영업수익(%)2,현금흐름/영업수익(%)3,현금흐름/총부채(%)1,현금흐름/총부채(%)2,현금흐름/총부채(%)3,현금흐름/총자본(%)1,현금흐름/총자본(%)2,현금흐름/총자본(%)3,현금흐름/총자산(%)1,현금흐름/총자산(%)2,현금흐름/총자산(%)3,현금흐름/총차입부채(%)1,현금흐름/총차입부채(%)2,현금흐름/총차입부채(%)3,총자산회전율(회)1,총자산회전율(회)2,총자산회전율(회)3,자본금회전율(회)1,자본금회전율(회)2,자본금회전율(회)3,총부채회전율(회)1,총부채회전율(회)2,총부채회전율(회)3,총자본회전율(회)1,총자본회전율(회)2,총자본회전율(회)3,총부채증가율(전년동기)(%)1,총부채증가율(전년동기)(%)2,총부채증가율(전년동기)(%)3,총자산증가율(전년동기)(%)1,총자산증가율(전년동기)(%)2,총자산증가율(전년동기)(%)3,매출액증가율(전년동기)(%)1,매출액증가율(전년동기)(%)2,매출액증가율(전년동기)(%)3,국고채 3년(평균)-%1,국고채 3년(평균)-%2,국고채 3년(평균)-%3,경상수지(백만불)-값1,경상수지(백만불)-값2,경상수지(백만불)-값3,소비자물가지수(CPI)-값1,소비자물가지수(CPI)-값2,소비자물가지수(CPI)-값3,실업률(15세 이상)-%1,실업률(15세 이상)-%2,실업률(15세 이상)-%3,코스닥 지수(연월말)-값1,코스닥 지수(연월말)-값2,코스닥 지수(연월말)-값3,환율-값1,환율-값2,환율-값3,WTI등락률-%1,WTI등락률-%2,WTI등락률-%3,국내총생산(명목GDP)1,국내총생산(명목GDP)2,국내총생산(명목GDP)3
1067,0,5.17,8.3,14.26,2.87,5.51,12.35,2.9,4.04,11.66,2.79,4.28,11.36,10.25,16.85,25.61,5.68,11.18,22.18,5.75,8.21,20.94,106.84,99.66,64.67,19.32,18.58,25.87,13.03,11.56,16.59,19.19,17.15,30.23,18.84,17.67,24.06,9.51,8.7,13.4,24.73,22.4,42.23,0.73,0.75,0.81,25.87,29.01,31.43,1.47,1.48,1.82,1.45,1.53,1.45,25.93,5.07,-12.54,14.82,8.73,11.16,15.42,15.16,17.98,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
1068,0,8.3,14.26,13.07,5.51,12.35,12.7,4.04,11.66,10.63,4.28,11.36,10.78,16.85,25.61,19.19,11.18,22.18,18.66,8.21,20.94,15.62,99.66,64.67,35.11,18.58,25.87,23.56,11.56,16.59,17.28,17.15,30.23,42.82,17.67,24.06,20.09,8.7,13.4,13.67,22.4,42.23,69.4,0.75,0.81,0.79,29.01,31.43,33.24,1.48,1.82,2.48,1.53,1.45,1.16,5.07,-12.54,-18.34,8.73,11.16,23.42,15.16,17.98,15.27,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
1069,0,14.26,13.07,4.23,12.35,12.7,4.76,11.66,10.63,14.25,11.36,10.78,14.14,25.61,19.19,5.63,22.18,18.66,6.32,20.94,15.62,18.94,64.67,35.11,31.26,25.87,23.56,24.83,16.59,17.28,61.05,30.23,42.82,56.7,24.06,20.09,18.68,13.4,13.67,14.05,42.23,69.4,114.89,0.81,0.79,0.23,31.43,33.24,11.53,1.82,2.48,0.93,1.45,1.16,0.31,-12.54,-18.34,13.1,11.16,23.42,23.42,17.98,15.27,-64.11,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
1070,0,13.07,4.23,6.63,12.7,4.76,6.05,10.63,14.25,120.8,10.78,14.14,120.7,19.19,5.63,8.34,18.66,6.32,7.6,15.62,18.94,151.81,35.11,31.26,22.73,23.56,24.83,213.85,17.28,61.05,319.2,42.82,56.7,587.28,20.09,18.68,150.77,13.67,14.05,119.97,69.4,114.89,1180.54,0.79,0.23,0.38,33.24,11.53,31.01,2.48,0.93,1.84,1.16,0.31,0.47,-18.34,13.1,37.91,23.42,23.42,77.33,15.27,-64.11,150.14,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
1071,0,4.23,6.63,10.66,4.76,6.05,11.19,14.25,120.8,8.54,14.14,120.7,8.56,5.63,8.34,13.17,6.32,7.6,13.82,18.94,151.81,10.55,31.26,22.73,24.27,24.83,213.85,11.44,61.05,319.2,11.67,56.7,587.28,34.0,18.68,150.77,8.0,14.05,119.97,6.48,114.89,1180.54,64.92,0.23,0.38,0.56,11.53,31.01,66.01,0.93,1.84,2.91,0.31,0.47,0.69,13.1,37.91,15.5,23.42,77.33,9.53,-64.11,150.14,97.88,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
1072,0,6.63,10.66,10.59,6.05,11.19,12.05,120.8,8.54,9.47,120.7,8.56,9.47,8.34,13.17,13.2,7.6,13.82,15.01,151.81,10.55,11.8,22.73,24.27,24.92,213.85,11.44,12.73,319.2,11.67,11.82,587.28,34.0,35.32,150.77,8.0,8.69,119.97,6.48,6.98,1180.54,64.92,70.92,0.38,0.56,0.59,31.01,66.01,74.56,1.84,2.91,2.99,0.47,0.69,0.74,37.91,15.5,12.67,77.33,9.53,10.28,150.14,97.88,16.89,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
1073,0,10.66,10.59,10.31,11.19,12.05,10.06,8.54,9.47,8.11,8.56,9.47,8.09,13.17,13.2,13.02,13.82,15.01,12.7,10.55,11.8,10.24,24.27,24.92,27.56,11.44,12.73,12.78,11.67,11.82,10.53,34.0,35.32,32.12,8.0,8.69,8.45,6.48,6.98,6.69,64.92,70.92,66.15,0.56,0.59,0.64,66.01,74.56,84.3,2.91,2.99,3.05,0.69,0.74,0.8,15.5,12.67,19.45,9.53,10.28,10.3,97.88,16.89,18.68,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
1078,0,4.74,6.73,-8.84,0.24,3.98,-17.78,-2.49,2.67,-16.94,-2.88,1.72,-16.87,14.79,21.75,-30.08,0.74,12.85,-60.54,-7.78,8.63,-57.67,237.24,210.34,275.32,9.42,24.57,-31.35,3.57,9.0,-11.31,4.41,10.96,-12.44,9.36,24.47,-29.91,3.0,7.57,-8.78,5.76,13.94,-16.13,0.84,0.84,0.78,10.39,10.91,10.34,1.23,1.22,1.1,2.62,2.72,2.64,17.64,-3.24,13.36,9.36,0.43,4.73,-1.09,4.97,-5.2,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
1079,0,6.73,-8.84,3.35,3.98,-17.78,-0.33,2.67,-16.94,0.24,1.72,-16.87,0.19,21.75,-30.08,10.75,12.85,-60.54,-1.05,8.63,-57.67,0.78,210.34,275.32,177.23,24.57,-31.35,22.76,9.0,-11.31,7.33,10.96,-12.44,9.17,24.47,-29.91,20.21,7.57,-8.78,6.31,13.94,-16.13,12.44,0.84,0.78,0.86,10.91,10.34,11.37,1.22,1.1,1.25,2.72,2.64,2.76,-3.24,13.36,-18.07,0.43,4.73,-5.98,4.97,-5.2,9.97,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
1080,0,-8.84,3.35,7.37,-17.78,-0.33,8.69,-16.94,0.24,4.22,-16.87,0.19,4.78,-30.08,10.75,19.19,-60.54,-1.05,22.62,-57.67,0.78,10.97,275.32,177.23,145.72,-31.35,22.76,23.39,-11.31,7.33,9.51,-12.44,9.17,12.0,-29.91,20.21,19.22,-8.78,6.31,7.39,-16.13,12.44,17.04,0.78,0.86,0.78,10.34,11.37,9.75,1.1,1.25,1.26,2.64,2.76,2.02,13.36,-18.07,-3.22,4.73,-5.98,4.33,-5.2,9.97,-10.63,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
