index,한계기업,ROA(영업이익)(%)1,ROA(영업이익)(%)2,ROA(영업이익)(%)3,ROA(세전계속사업이익)(%)1,ROA(세전계속사업이익)(%)2,ROA(세전계속사업이익)(%)3,ROA(당기순이익)(%)1,ROA(당기순이익)(%)2,ROA(당기순이익)(%)3,ROA(총포괄이익)(%)1,ROA(총포괄이익)(%)2,ROA(총포괄이익)(%)3,ROE(영업이익)(%)1,ROE(영업이익)(%)2,ROE(영업이익)(%)3,ROE(세전계속사업이익)(%)1,ROE(세전계속사업이익)(%)2,ROE(세전계속사업이익)(%)3,ROE(당기순이익)(%)1,ROE(당기순이익)(%)2,ROE(당기순이익)(%)3,부채비율(%)1,부채비율(%)2,부채비율(%)3,자기자본현금흐름률(%)1,자기자본현금흐름률(%)2,자기자본현금흐름률(%)3,현금흐름/영업수익(%)1,현금흐름/영업수익(%)2,현금흐름/영업수익(%)3,현금흐름/총부채(%)1,현금흐름/총부채(%)2,현금흐름/총부채(%)3,현금흐름/총자본(%)1,현금흐름/총자본(%)2,현금흐름/총자본(%)3,현금흐름/총자산(%)1,현금흐름/총자산(%)2,현금흐름/총자산(%)3,현금흐름/총차입부채(%)1,현금흐름/총차입부채(%)2,현금흐름/총차입부채(%)3,총자산회전율(회)1,총자산회전율(회)2,총자산회전율(회)3,자본금회전율(회)1,자본금회전율(회)2,자본금회전율(회)3,총부채회전율(회)1,총부채회전율(회)2,총부채회전율(회)3,총자본회전율(회)1,총자본회전율(회)2,총자본회전율(회)3,총부채증가율(전년동기)(%)1,총부채증가율(전년동기)(%)2,총부채증가율(전년동기)(%)3,총자산증가율(전년동기)(%)1,총자산증가율(전년동기)(%)2,총자산증가율(전년동기)(%)3,매출액증가율(전년동기)(%)1,매출액증가율(전년동기)(%)2,매출액증가율(전년동기)(%)3,국고채 3년(평균)-%1,국고채 3년(평균)-%2,국고채 3년(평균)-%3,경상수지(백만불)-값1,경상수지(백만불)-값2,경상수지(백만불)-값3,소비자물가지수(CPI)-값1,소비자물가지수(CPI)-값2,소비자물가지수(CPI)-값3,실업률(15세 이상)-%1,실업률(15세 이상)-%2,실업률(15세 이상)-%3,코스닥 지수(연월말)-값1,코스닥 지수(연월말)-값2,코스닥 지수(연월말)-값3,환율-값1,환율-값2,환율-값3,WTI등락률-%1,WTI등락률-%2,WTI등락률-%3,국내총생산(명목GDP)1,국내총생산(명목GDP)2,국내총생산(명목GDP)3
0,1,4.39,-5.6,-12.43,-1.81,-12.47,-20.94,-12.68,-16.58,-25.04,-12.7,-16.57,-24.85,11.3,-13.65,-28.85,-4.67,-30.39,-48.6,-32.67,-40.39,-58.12,156.0,131.54,132.89,-26.02,-22.81,-34.95,-8.14,-8.79,-30.21,-15.71,-14.78,-25.66,-24.75,-21.23,-33.9,-9.61,-8.71,-14.6,-21.84,-21.86,-40.4,1.18,0.99,0.48,7.64,5.01,1.76,1.93,1.68,0.85,3.04,2.41,1.12,-15.31,-14.11,-27.45,-14.69,-7.87,-27.77,55.19,-25.71,-59.71,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
1,1,-5.6,-12.43,0.8,-12.47,-20.94,-3.98,-16.58,-25.04,-7.19,-16.57,-24.85,-7.17,-13.65,-28.85,1.88,-30.39,-48.6,-9.34,-40.39,-58.12,-16.86,131.54,132.89,135.67,-22.81,-34.95,-5.52,-8.79,-30.21,-2.98,-14.78,-25.66,-4.27,-21.23,-33.9,-5.74,-8.71,-14.6,-2.45,-21.86,-40.4,-6.09,0.99,0.48,0.82,5.01,1.76,2.82,1.68,0.85,1.43,2.41,1.12,1.93,-14.11,-27.45,51.6,-7.87,-27.77,50.27,-25.71,-59.71,78.71,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
2,1,-12.43,0.8,-4.98,-20.94,-3.98,8.83,-25.04,-7.19,8.73,-24.85,-7.17,9.1,-28.85,1.88,-8.68,-48.6,-9.34,15.39,-58.12,-16.86,15.21,132.89,135.67,61.88,-34.95,-5.52,26.5,-30.21,-2.98,37.42,-25.66,-4.27,28.22,-33.9,-5.74,20.95,-14.6,-2.45,12.02,-40.4,-6.09,63.15,0.48,0.82,0.32,1.76,2.82,2.46,0.85,1.43,0.75,1.12,1.93,0.56,-27.45,51.6,126.64,-27.77,50.27,241.32,-59.71,78.71,3.43,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
3,1,0.8,-4.98,-11.3,-3.98,8.83,-12.5,-7.19,8.73,-12.5,-7.17,9.1,-12.32,1.88,-8.68,-17.62,-9.34,15.39,-19.5,-16.86,15.21,-19.5,135.67,61.88,50.48,-5.52,26.5,-13.4,-2.98,37.42,-38.54,-4.27,28.22,-17.41,-5.74,20.95,-9.74,-2.45,12.02,-6.25,-6.09,63.15,-64.54,0.82,0.32,0.16,2.82,2.46,1.72,1.43,0.75,0.45,1.93,0.56,0.25,51.6,126.64,-11.51,50.27,241.32,0.83,78.71,3.43,-21.64,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
4,1,-4.98,-11.3,-13.93,8.83,-12.5,-17.79,8.73,-12.5,-11.38,9.1,-12.32,-12.75,-8.68,-17.62,-21.97,15.39,-19.5,-28.06,15.21,-19.5,-17.94,61.88,50.48,65.55,26.5,-13.4,-17.96,37.42,-38.54,-64.78,28.22,-17.41,-21.73,20.95,-9.74,-12.54,12.02,-6.25,-7.95,63.15,-64.54,-60.51,0.32,0.16,0.12,2.46,1.72,1.27,0.75,0.45,0.34,0.56,0.25,0.19,126.64,-11.51,18.97,241.32,0.83,0.8,3.43,-21.64,-23.66,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
5,1,-11.3,-13.93,-11.91,-12.5,-17.79,5.49,-12.5,-11.38,5.49,-12.32,-12.75,7.6,-17.62,-21.97,-18.14,-19.5,-28.06,8.36,-19.5,-17.94,8.37,50.48,65.55,45.11,-13.4,-17.96,21.21,-38.54,-64.78,73.82,-17.41,-21.73,31.61,-9.74,-12.54,16.53,-6.25,-7.95,10.85,-64.54,-60.51,58.8,0.16,0.12,0.15,1.72,1.27,1.92,0.45,0.34,0.43,0.25,0.19,0.22,-11.51,18.97,26.84,0.83,0.8,61.56,-21.64,-23.66,57.28,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
6,1,-13.93,-11.91,-14.62,-17.79,5.49,-17.93,-11.38,5.49,-17.9,-12.75,7.6,-15.53,-21.97,-18.14,-24.44,-28.06,8.36,-29.97,-17.94,8.37,-29.92,65.55,45.11,91.61,-17.96,21.21,-23.48,-64.78,73.82,-109.87,-21.73,31.61,-31.51,-12.54,16.53,-21.17,-7.95,10.85,-12.66,-60.51,58.8,-58.78,0.12,0.15,0.12,1.27,1.92,1.88,0.34,0.43,0.29,0.19,0.22,0.19,18.97,26.84,83.43,0.8,61.56,19.26,-23.66,57.28,6.18,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
11,0,3.1,1.86,2.16,1.79,1.24,1.05,1.74,1.3,0.75,1.74,1.28,0.75,4.85,3.56,4.6,2.8,2.37,2.22,2.73,2.49,1.6,68.46,110.53,114.56,4.03,3.3,2.25,10.93,10.03,6.96,7.11,3.6,2.0,4.03,3.3,2.25,2.57,1.72,1.06,15.29,7.63,2.69,0.24,0.17,0.15,7.57,7.11,7.38,0.65,0.36,0.29,0.37,0.33,0.32,59.35,97.92,11.01,20.86,53.2,9.16,11.16,1.02,12.11,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
12,0,1.86,2.16,2.16,1.24,1.05,1.53,1.3,0.75,1.52,1.28,0.75,1.52,3.56,4.6,4.36,2.37,2.22,3.09,2.49,1.6,3.07,110.53,114.56,91.75,3.3,2.25,3.69,10.03,6.96,10.57,3.6,2.0,3.62,3.3,2.25,3.69,1.72,1.06,1.83,7.63,2.69,3.99,0.17,0.15,0.17,7.11,7.38,8.02,0.36,0.29,0.34,0.33,0.32,0.35,97.92,11.01,1.97,53.2,9.16,13.78,1.02,12.11,26.75,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
13,0,2.16,2.16,-3.24,1.05,1.53,-5.01,0.75,1.52,-3.65,0.75,1.52,-3.66,4.6,4.36,-6.65,2.22,3.09,-10.27,1.6,3.07,-7.48,114.56,91.75,119.88,2.25,3.69,-5.29,6.96,10.57,-14.41,2.0,3.62,-5.04,2.25,3.69,-5.29,1.06,1.83,-2.58,2.69,3.99,-5.6,0.15,0.17,0.18,7.38,8.02,7.52,0.29,0.34,0.35,0.32,0.35,0.37,11.01,1.97,17.18,9.16,13.78,2.84,12.11,26.75,11.97,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
14,0,2.16,-3.24,-3.47,1.53,-5.01,-5.42,1.52,-3.65,-4.88,1.52,-3.66,-4.88,4.36,-6.65,-6.4,3.09,-10.27,-10.0,3.07,-7.48,-9.0,91.75,119.88,59.77,3.69,-5.29,-3.85,10.57,-14.41,-8.62,3.62,-5.04,-4.57,3.69,-5.29,-3.85,1.83,-2.58,-2.09,3.99,-5.6,-5.1,0.17,0.18,0.24,8.02,7.52,7.98,0.34,0.35,0.53,0.35,0.37,0.45,1.97,17.18,-28.27,13.78,2.84,4.55,26.75,11.97,40.25,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
15,0,-3.24,-3.47,1.9,-5.01,-5.42,0.54,-3.65,-4.88,0.6,-3.66,-4.88,0.59,-6.65,-6.4,3.04,-10.27,-10.0,0.86,-7.48,-9.0,0.95,119.88,59.77,60.16,-5.29,-3.85,5.24,-14.41,-8.62,11.0,-5.04,-4.57,8.74,-5.29,-3.85,5.24,-2.58,-2.09,3.28,-5.6,-5.1,10.57,0.18,0.24,0.3,7.52,7.98,8.36,0.35,0.53,0.79,0.37,0.45,0.48,17.18,-28.27,6.82,2.84,4.55,6.38,11.97,40.25,29.62,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
16,0,-3.47,1.9,0.77,-5.42,0.54,-1.36,-4.88,0.6,-2.04,-4.88,0.59,-1.99,-6.4,3.04,1.27,-10.0,0.86,-2.22,-9.0,0.95,-3.33,59.77,60.16,67.55,-3.85,5.24,1.18,-8.62,11.0,2.26,-4.57,8.74,1.85,-3.85,5.24,1.18,-2.09,3.28,0.72,-5.1,10.57,2.28,0.24,0.3,0.32,7.98,8.36,8.72,0.53,0.79,0.82,0.45,0.48,0.52,-28.27,6.82,3.26,4.55,6.38,-3.79,40.25,29.62,8.11,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
17,0,1.9,0.77,3.19,0.54,-1.36,1.92,0.6,-2.04,1.86,0.59,-1.99,1.97,3.04,1.27,5.36,0.86,-2.22,3.22,0.95,-3.33,3.13,60.16,67.55,68.19,5.24,1.18,7.86,11.0,2.26,12.46,8.74,1.85,11.58,5.24,1.18,7.86,3.28,0.72,4.68,10.57,2.28,14.0,0.3,0.32,0.38,8.36,8.72,10.18,0.79,0.82,0.93,0.48,0.52,0.63,6.82,3.26,4.68,6.38,-3.79,4.1,29.62,8.11,18.13,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
22,0,16.88,15.08,13.25,16.82,12.87,11.28,15.56,11.23,9.0,14.91,11.04,9.1,28.07,29.58,22.3,27.98,25.24,18.97,25.88,22.02,15.15,92.69,99.38,52.81,30.91,27.81,20.27,28.34,22.23,21.71,46.58,28.95,29.69,30.91,27.81,20.27,18.58,14.18,12.04,62.92,37.32,40.01,0.66,0.64,0.55,6.05,7.9,7.88,1.64,1.3,1.37,1.09,1.25,0.93,270.39,10.39,6.99,88.15,6.53,54.32,60.28,31.25,14.08,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
23,0,15.08,13.25,8.31,12.87,11.28,8.07,11.23,9.0,6.84,11.04,9.1,6.53,29.58,22.3,12.4,25.24,18.97,12.05,22.02,15.15,10.2,99.38,52.81,45.99,27.81,20.27,16.52,22.23,21.71,22.98,28.95,29.69,33.56,27.81,20.27,16.51,14.18,12.04,11.07,37.32,40.01,46.78,0.64,0.55,0.48,7.9,7.88,6.11,1.3,1.37,1.46,1.25,0.93,0.72,10.39,6.99,-2.19,6.53,54.32,7.3,31.25,14.08,9.18,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
24,0,13.25,8.31,5.19,11.28,8.07,5.36,9.0,6.84,4.08,9.1,6.53,3.92,22.3,12.4,7.51,18.97,12.05,7.75,15.15,10.2,5.89,52.81,45.99,43.42,20.27,16.52,11.15,21.71,22.98,19.67,29.69,33.56,25.03,20.27,16.51,11.13,12.04,11.07,7.71,40.01,46.78,33.47,0.55,0.48,0.39,7.88,6.11,5.06,1.37,1.46,1.27,0.93,0.72,0.57,6.99,-2.19,34.68,54.32,7.3,40.15,14.08,9.18,1.13,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
25,0,8.31,5.19,5.02,8.07,5.36,4.69,6.84,4.08,3.57,6.53,3.92,3.35,12.4,7.51,7.27,12.05,7.75,6.78,10.2,5.89,5.16,45.99,43.42,45.97,16.52,11.15,9.87,22.98,19.67,18.56,33.56,25.03,22.04,16.51,11.13,9.86,11.07,7.71,6.81,46.78,33.47,28.58,0.48,0.39,0.37,6.11,5.06,5.62,1.46,1.27,1.19,0.72,0.57,0.53,-2.19,34.68,11.31,7.3,40.15,6.99,9.18,1.13,13.14,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
26,0,5.19,5.02,4.15,5.36,4.69,1.64,4.08,3.57,1.82,3.92,3.35,1.11,7.51,7.27,5.82,7.75,6.78,2.3,5.89,5.16,2.55,43.42,45.97,33.68,11.15,9.87,7.51,19.67,18.56,10.94,25.03,22.04,18.54,11.13,9.86,7.49,7.71,6.81,5.34,33.47,28.58,27.91,0.39,0.37,0.49,5.06,5.62,6.78,1.27,1.19,1.7,0.57,0.53,0.69,34.68,11.31,-39.6,40.15,6.99,-24.5,1.13,13.14,20.66,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
27,0,5.02,4.15,6.63,4.69,1.64,6.66,3.57,1.82,6.68,3.35,1.11,6.4,7.27,5.82,8.65,6.78,2.3,8.69,5.16,2.55,8.72,45.97,33.68,27.62,9.87,7.51,15.08,18.56,10.94,18.06,22.04,18.54,49.29,9.86,7.49,15.04,6.81,5.34,11.52,28.58,27.91,122.98,0.37,0.49,0.64,5.62,6.78,7.8,1.19,1.7,2.73,0.53,0.69,0.83,11.31,-39.6,-10.24,6.99,-24.5,4.5,13.14,20.66,15.01,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
28,0,4.15,6.63,12.47,1.64,6.66,15.41,1.82,6.68,14.86,1.11,6.4,14.77,5.82,8.65,15.95,2.3,8.69,19.71,2.55,8.72,19.0,33.68,27.62,28.06,7.51,15.08,26.27,10.94,18.06,30.22,18.54,49.29,94.08,7.49,15.04,26.21,5.34,11.52,20.5,27.91,122.98,290.96,0.49,0.64,0.68,6.78,7.8,9.3,1.7,2.73,3.11,0.69,0.83,0.87,-39.6,-10.24,20.99,-24.5,4.5,19.48,20.66,15.01,19.25,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
33,0,14.12,12.01,9.52,11.24,11.56,8.51,6.89,8.64,6.14,6.82,8.72,6.13,48.01,32.8,24.53,38.21,31.57,21.92,23.44,23.61,15.82,198.41,155.63,159.24,62.26,64.23,55.81,16.29,17.3,14.98,20.69,25.05,22.69,49.66,43.38,35.76,14.6,15.88,13.88,34.54,46.93,38.74,0.9,0.92,0.93,52.07,64.22,81.02,1.27,1.45,1.51,3.05,2.51,2.39,5.98,12.5,27.78,20.39,22.87,26.65,28.35,24.67,26.18,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
34,0,12.01,9.52,7.58,11.56,8.51,5.07,8.64,6.14,3.42,8.72,6.13,3.65,32.8,24.53,19.25,31.57,21.92,12.88,23.61,15.82,8.69,155.63,159.24,149.02,64.23,55.81,49.35,17.3,14.98,15.26,25.05,22.69,21.2,43.38,35.76,32.64,15.88,13.88,12.85,46.93,38.74,33.66,0.92,0.93,0.84,64.22,81.02,83.95,1.45,1.51,1.39,2.51,2.39,2.14,12.5,27.78,1.37,22.87,26.65,4.05,24.67,26.18,3.64,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
35,0,9.52,7.58,6.83,8.51,5.07,5.29,6.14,3.42,3.65,6.13,3.65,3.3,24.53,19.25,16.03,21.92,12.88,12.41,15.82,8.69,8.56,159.24,149.02,121.33,55.81,49.35,42.54,14.98,15.26,16.23,22.69,21.2,21.25,35.76,32.64,28.63,13.88,12.85,12.2,38.74,33.66,33.87,0.93,0.84,0.75,81.02,83.95,74.34,1.51,1.39,1.31,2.39,2.14,1.76,27.78,1.37,-13.2,26.65,4.05,-5.25,26.18,3.64,-11.37,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
36,0,7.58,6.83,6.23,5.07,5.29,2.16,3.42,3.65,1.13,3.65,3.3,1.07,19.25,16.03,13.19,12.88,12.41,4.58,8.69,8.56,2.4,149.02,121.33,102.04,49.35,42.54,31.75,15.26,16.23,13.15,21.2,21.25,19.17,32.64,28.63,21.41,12.85,12.2,10.11,33.66,33.87,33.29,0.84,0.75,0.77,83.95,74.34,71.07,1.39,1.31,1.46,2.14,1.76,1.63,1.37,-13.2,-15.1,4.05,-5.25,-7.85,3.64,-11.37,-4.33,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
37,0,6.83,6.23,8.08,5.29,2.16,6.64,3.65,1.13,5.16,3.3,1.07,5.11,16.03,13.19,15.77,12.41,4.58,12.95,8.56,2.4,10.08,121.33,102.04,88.79,42.54,31.75,38.6,16.23,13.15,16.61,21.25,19.17,27.73,28.63,21.41,26.38,12.2,10.11,13.52,33.87,33.29,53.21,0.75,0.77,0.81,74.34,71.07,72.72,1.31,1.46,1.67,1.76,1.63,1.59,-13.2,-15.1,-5.25,-5.25,-7.85,1.75,-11.37,-4.33,2.33,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
38,0,6.23,8.08,3.81,2.16,6.64,3.43,1.13,5.16,3.86,1.07,5.11,2.8,13.19,15.77,7.42,4.58,12.95,6.68,2.4,10.08,7.5,102.04,88.79,97.19,31.75,38.6,36.34,13.15,16.61,29.19,19.17,27.73,29.65,21.41,26.38,28.07,10.11,13.52,14.42,33.29,53.21,52.77,0.77,0.81,0.49,71.07,72.72,33.33,1.46,1.67,1.02,1.63,1.59,0.96,-15.1,-5.25,152.66,-7.85,1.75,141.09,-4.33,2.33,4.44,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
39,0,8.08,3.81,4.42,6.64,3.43,3.11,5.16,3.86,0.96,5.11,2.8,1.25,15.77,7.42,8.19,12.95,6.68,5.76,10.08,7.5,1.78,88.79,97.19,72.43,38.6,36.34,30.23,16.61,29.19,22.78,27.73,29.65,30.76,26.38,28.07,26.24,13.52,14.42,14.16,53.21,52.77,65.29,0.81,0.49,0.62,72.72,33.33,34.27,1.67,1.02,1.35,1.59,0.96,1.15,-5.25,152.66,-31.43,1.75,141.09,-19.54,2.33,4.44,60.56,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
44,0,2.9,3.27,0.75,0.23,0.32,-3.26,0.49,0.37,-4.61,0.46,0.37,-4.72,7.03,7.62,1.75,0.57,0.74,-7.6,1.19,0.87,-10.74,135.84,130.76,134.89,15.19,14.31,6.28,11.41,13.15,7.85,10.68,10.74,4.73,15.19,14.31,6.28,6.27,6.13,2.7,12.52,11.94,5.34,0.55,0.47,0.34,14.49,12.44,8.83,0.94,0.82,0.6,1.33,1.09,0.8,10.26,-1.06,3.67,14.88,0.57,2.3,58.6,-8.97,-25.3,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
45,0,3.27,0.75,4.0,0.32,-3.26,0.24,0.37,-4.61,0.83,0.37,-4.72,0.7,7.62,1.75,9.54,0.74,-7.6,0.58,0.87,-10.74,1.98,130.76,134.89,142.12,14.31,6.28,20.73,13.15,7.85,18.84,10.74,4.73,14.96,14.31,6.28,20.73,6.13,2.7,8.69,11.94,5.34,16.9,0.47,0.34,0.46,12.44,8.83,11.87,0.82,0.6,0.79,1.09,0.8,1.1,-1.06,3.67,8.12,0.57,2.3,5.77,-8.97,-25.3,39.68,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
46,0,0.75,4.0,2.86,-3.26,0.24,-0.3,-4.61,0.83,0.09,-4.72,0.7,-0.14,1.75,9.54,6.51,-7.6,0.58,-0.68,-10.74,1.98,0.21,134.89,142.12,116.58,6.28,20.73,17.7,7.85,18.84,14.72,4.73,14.96,13.87,6.28,20.73,17.7,2.7,8.69,7.78,5.34,16.9,16.09,0.34,0.46,0.53,8.83,11.87,13.85,0.6,0.79,0.94,0.8,1.1,1.2,3.67,8.12,9.03,2.3,5.77,18.9,-25.3,39.68,28.89,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
47,0,4.0,2.86,3.56,0.24,-0.3,-2.3,0.83,0.09,-2.55,0.7,-0.14,-2.74,9.54,6.51,7.33,0.58,-0.68,-4.73,1.98,0.21,-5.25,142.12,116.58,99.42,20.73,17.7,7.97,18.84,14.72,5.75,14.96,13.87,6.73,20.73,17.7,7.12,8.69,7.78,3.46,16.9,16.09,8.31,0.46,0.53,0.6,11.87,13.85,17.79,0.79,0.94,1.17,1.1,1.2,1.24,8.12,9.03,45.46,5.77,18.9,57.05,39.68,28.89,58.93,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
48,0,2.86,3.56,5.48,-0.3,-2.3,-0.37,0.09,-2.55,-0.83,-0.14,-2.74,-0.97,6.51,7.33,12.17,-0.68,-4.73,-0.81,0.21,-5.25,-1.84,116.58,99.42,143.02,17.7,7.97,11.11,14.72,5.75,4.91,13.87,6.73,7.41,17.7,7.12,9.03,7.78,3.46,4.07,16.09,8.31,9.42,0.53,0.6,0.83,13.85,17.79,30.29,0.94,1.17,1.51,1.2,1.24,1.84,9.03,45.46,52.74,18.9,57.05,29.39,28.89,58.93,92.99,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
